Timestamp,Date,Transaction Type,Coin In,# Coins In,Coin Out,# Coins Out,USD VALUE,Gas/Tx Fee,Gas Coin,GAS USD$,NOTES,COST BASIS,,,
7/29/2024 15:24:09,4/7/2022,DEPOSIT,USDC,64796.10154,,,"$64,796.10",,,,, ,,,
7/29/2024 15:25:00,4/7/2022,DEPOSIT,ETH,0.01369,,,$44.21,,,,,"$3,229.36",,,
7/29/2024 15:25:40,4/7/2022,DEPOSIT,AVAX,0.1,,,$8.77,,,,,$87.70,,Cost Basis,
7/29/2024 15:26:41,4/7/2022,TRADE,AVAX,0.4751193682,USDC,40,$40.00,0.0211240,AVAX,1.85,,$84.19,,BTC,"$65,125.70"
7/29/2024 15:27:31,4/7/2022,TRADE,UST,64693.16877,USDC,64756,"$64,756.10",0.0768814,AVAX,6.74,,$1.00,,ETH,"$2,197.06"
7/29/2024 15:28:14,4/7/2022,TRADE,AUST,1705.267574,UST,2093,"$2,093.38",0.0326728,AVAX,2.86,"
",$1.23,,AVAX,$55.77
7/29/2024 15:28:59,4/7/2022,TRADE,AUST,50990.78948,UST,62600,"$62,599.79",0.0331552,AVAX,2.91,,$1.23,,,
7/29/2024 15:29:48,5/7/2022,TRADE,UST,65732.93357,AUST,52696,"$65,732.93",0.0260986,AVAX,1.37,,$1.25,,,
7/29/2024 15:30:19,5/7/2022,TRADE,AVAX,9.26422365,UST,500,$500.00,0.0104412,AVAX,0.55,,$53.97,,,
7/29/2024 15:30:54,5/7/2022,TRADE,ETH,2.551163785,UST,6570,"$6,570.00",0.0088242,AVAX,0.86,,"$2,575.30",,,
7/29/2024 15:31:30,5/7/2022,TRADE,BTC,0.18755669,UST,6570,"$6,570.00",0.0090098,AVAX,0.47,,"$35,029.41",,,
7/29/2024 15:32:05,5/7/0022,TRADE,LUNC,7.409128,UST,495,$495.00,0.0090773,AVAX,0.48,,$66.81,,,
7/29/2024 15:34:01,5/12/2022,TRADE,USDC,33294.14316,UST,51598,"$33,294.14",0.0193530,AVAX,0.54,,$0.65,,,
7/29/2024 15:34:38,6/13/2022,TRADE,BTC,0.00872317,USDC,200,$200.00,0.0045554,AVAX,0.07,,"$22,927.44",,,
7/29/2024 15:35:13,6/13/2022,TRADE,ETH,0.1634223762,USDC,200,$200.00,0.0048369,AVAX,0.08,,"$1,223.82",,,
7/29/2024 15:36:00,6/13/2022,TRADE,BTC,0.00874979,USDC,200,$200.00,0.0045554,AVAX,0.07,,"$22,857.69",,,
7/29/2024 15:36:36,6/13/2022,TRADE,ETH,0.1647318421,USDC,200,$200.00,0.0045570,AVAX,0.07,,"$1,214.09",,,
7/29/2024 15:37:06,7/2/2022,TRADE,BTC,0.03889721,USDC,750,$750.00,0.0314634,AVAX,0.52,,"$19,281.59",,,
7/29/2024 15:37:38,7/2/2022,TRADE,ETH,0.70701187,USDC,750,$750.00,0.0314734,AVAX,0.52,,"$1,060.80",,,
7/29/2024 15:38:25,8/28/2022,TRADE,ETH,3.470627545,USDC,5000,"$5,000.00",0.0048365,AVAX,0.09,,"$1,440.66",,,
7/29/2024 15:39:01,8/28/2022,TRADE,BTC,0.03811712,USDC,750,$750.00,0.0313413,AVAX,0.58,,"$19,676.20",,,
7/29/2024 15:39:37,9/18/2022,TRADE,ETH,1.445792309,USDC,2000,"$2,000.00",0.0314267,AVAX,0.56,,"$1,383.32",,,
