Date, Time, Amount, Type, Description
2025-09-15,23:41:20,0.01,Deposit,Interest Paid
2025-08-15,21:40:50,0.01,Deposit,Interest Paid
2025-07-15,23:41:16,0.01,Deposit,Interest Paid
2025-06-15,23:26:16,0.01,Deposit,Interest Paid
2025-05-15,23:41:19,0.01,Deposit,Interest Paid
2025-04-15,23:45:49,0.01,Deposit,Interest Paid
2025-03-15,23:29:49,0.01,Deposit,Interest Paid
2025-02-15,23:26:36,0.01,Deposit,Interest Paid
2025-01-15,23:44:11,0.01,Deposit,Interest Paid
2024-12-15,23:29:17,0.01,Deposit,Interest Paid
2024-11-15,23:42:51,0.01,Deposit,Interest Paid
2024-10-15,23:51:35,0.01,Deposit,Interest Paid
2024-09-15,23:28:03,2.99,Deposit,Interest Paid
2024-09-13,11:51:39,-4500.02,Withdrawal,Internet transfer to Spending account XXXXXX7630
2024-09-10,08:08:26,3500.00,Deposit,Internet transfer from Savings account XXXXXX1152
2024-09-04,07:17:40,-0.72,Withdrawal,JPMorgan Chase ACCTVERIFY
2024-09-04,07:17:40,0.42,Deposit,JPMorgan Chase ACCTVERIFY
2024-09-04,07:17:40,0.30,Deposit,JPMorgan Chase ACCTVERIFY
2024-08-28,15:57:27,1000.00,Deposit,Internet transfer from Savings account XXXXXX1152
