Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
7978,09/01/2025,09/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-8.40,
7978,08/11/2025,08/11/2025,CREDIT BALANCE REFUND,,Adjustment,-139.53,
7978,08/01/2025,08/03/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-8.08,
7978,07/01/2025,07/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,06/01/2025,06/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,05/01/2025,05/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,04/01/2025,04/03/2025,AAAACCELERATOR,Professional Services,Return,197.00,
7978,04/01/2025,04/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,03/28/2025,04/02/2025,Returned Payment,,Reversal,-214.79,
7978,04/02/2025,04/02/2025,Payment Thank You - 2nd A,,Payment,214.79,
7978,03/28/2025,03/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,214.79,
7978,03/27/2025,03/27/2025,MISTRAL AI INC,Office & Shipping,Sale,-10.00,
7978,03/12/2025,03/13/2025,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,03/02/2025,03/03/2025,AAAACCELERATOR,Professional Services,Sale,-197.00,
7978,03/01/2025,03/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,02/28/2025,02/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,232.79,
7978,02/12/2025,02/13/2025,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,02/05/2025,02/05/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-200.00,
7978,02/01/2025,02/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,01/28/2025,01/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,17.79,
7978,01/20/2025,01/20/2025,ANTHROPIC,Office & Shipping,Sale,-10.00,
7978,01/12/2025,01/13/2025,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,01/11/2025,01/12/2025,WWW.PERPLEXITY.AI,Entertainment,Sale,-5.00,
7978,01/01/2025,01/02/2025,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,12/27/2024,12/27/2024,AUTOMATIC PAYMENT - THANK,,Payment,27.79,
7978,12/12/2024,12/13/2024,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,12/01/2024,12/02/2024,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-7.20,
7978,11/28/2024,11/28/2024,AUTOMATIC PAYMENT - THANK,,Payment,7.20,
7978,11/24/2024,11/25/2024,BLACK FOREST LABS,Office & Shipping,Sale,-10.00,
7978,11/12/2024,11/13/2024,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,11/02/2024,11/03/2024,REPLICATE,Office & Shipping,Sale,-0.65,
7978,11/01/2024,11/03/2024,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-6.55,
7978,10/31/2024,10/31/2024,Payment Thank You-Mobile,,Payment,10.59,
7978,10/28/2024,10/28/2024,AUTOMATIC PAYMENT - THANK,,Payment,9.95,
7978,10/12/2024,10/13/2024,WWW.MAKE.COM,Office & Shipping,Sale,-10.59,
7978,10/02/2024,10/02/2024,REPLICATE,Office & Shipping,Sale,-6.51,
7978,10/01/2024,10/02/2024,GOOGLE *GSUITE_gensol.,Office & Shipping,Sale,-3.44,
7978,09/13/2024,09/13/2024,Payment Thank You - Web,,Payment,4093.84,
7978,09/06/2024,09/06/2024,LATENODE* TRIAL OVER,Office & Shipping,Sale,-17.00,
7978,09/05/2024,09/05/2024,REPLICATE,Office & Shipping,Sale,-10.00,
7978,09/03/2024,09/04/2024,REPLICATE,Office & Shipping,Sale,-1.00,
7978,09/02/2024,09/03/2024,AAAACCELERATOR,Education,Sale,-3800.00,
7978,08/29/2024,08/30/2024,HOSTINGER* HOSTINGER.C,Professional Services,Sale,-35.88,
7978,08/27/2024,08/28/2024,Fiverr,Office & Shipping,Sale,-60.00,
7978,08/25/2024,08/26/2024,OPENAI,Office & Shipping,Sale,-10.00,
7978,08/21/2024,08/21/2024,NAME-CHEAP.COM* UPQCAM,Professional Services,Sale,-159.96,
