Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/09/2025,09/09/2025,FRUGALUSENET.COM,Professional Services,Sale,-5.99,
09/05/2025,09/07/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
08/20/2025,08/21/2025,COMMA AI P* TRIAL OVER,Automotive,Sale,-24.00,
08/09/2025,08/10/2025,FRUGALUSENET.COM,Professional Services,Sale,-5.99,
08/05/2025,08/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
07/29/2025,07/30/2025,Payment Thank You-Mobile,,Payment,15.99,
07/09/2025,07/09/2025,FRUGALUSENET.COM,Professional Services,Sale,-5.99,
07/05/2025,07/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
06/30/2025,06/30/2025,Payment Thank You-Mobile,,Payment,209.99,
06/06/2025,06/09/2025,ZIPPY`S CAR WASH LLC,Automotive,Sale,-15.00,
06/09/2025,06/09/2025,FRUGALUSENET.COM,Professional Services,Sale,-5.99,
06/06/2025,06/09/2025,ZIPPY`S CAR WASH LLC,Automotive,Sale,-2.00,
06/07/2025,06/09/2025,MEXCAL,Food & Drink,Sale,-105.00,
06/06/2025,06/09/2025,ZIPPY`S CAR WASH LLC,Automotive,Sale,-2.00,
06/07/2025,06/08/2025,SQ *DEATH &amp; TAXES,Food & Drink,Sale,-70.00,
06/05/2025,06/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
06/01/2025,06/01/2025,Payment Thank You-Mobile,,Payment,32.53,
05/09/2025,05/09/2025,FRUGALUSENET.COM,Professional Services,Sale,-5.99,
05/05/2025,05/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
05/06/2025,05/06/2025,OPENROUTER  INC,Shopping,Sale,-10.90,
05/05/2025,05/06/2025,OPENROUTER  INC,Shopping,Sale,-5.64,
04/30/2025,04/30/2025,Payment Thank You-Mobile,,Payment,27.99,
04/23/2025,04/24/2025,NETFLIX.COM,Bills & Utilities,Sale,-17.99,
04/05/2025,04/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
03/31/2025,03/31/2025,Payment Thank You-Mobile,,Payment,44.76,
03/23/2025,03/24/2025,Netflix.com,Bills & Utilities,Sale,-17.99,
03/11/2025,03/11/2025,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.14,
03/10/2025,03/11/2025,CAYREL ALEXANDRE ED,Home,Sale,-38.12,
03/05/2025,03/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
02/23/2025,02/23/2025,Netflix,Bills & Utilities,Sale,-17.99,
02/05/2025,02/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
01/31/2025,02/02/2025,Payment Thank You-Mobile,,Payment,159.24,
01/31/2025,01/31/2025,AUTOMATIC PAYMENT - THANK,,Payment,50.48,
01/23/2025,01/24/2025,Netflix.com,Bills & Utilities,Sale,-15.49,
01/04/2025,01/06/2025,ARCO#81936WOODCREEK OAKS,Gas,Sale,-21.27,
01/04/2025,01/06/2025,OASIS MASSAGE THERAPY,Health & Wellness,Sale,-62.00,
01/05/2025,01/06/2025,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
01/01/2025,01/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,32.09,
12/23/2024,12/24/2024,NETFLIX.COM,Bills & Utilities,Sale,-15.49,
12/13/2024,12/15/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-24.99,
11/23/2024,12/10/2024,24 Hour Fitness USA  I,Health & Wellness,Return,24.99,
12/05/2024,12/06/2024,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
11/27/2024,11/28/2024,CHIPOTLE 3437,Food & Drink,Sale,-6.60,
11/23/2024,11/24/2024,Netflix.com,Bills & Utilities,Sale,-15.49,
11/23/2024,11/24/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-24.99,
11/05/2024,11/06/2024,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
10/30/2024,10/30/2024,Payment Thank You-Mobile,,Payment,321.37,
10/23/2024,10/23/2024,Netflix,Bills & Utilities,Sale,-15.49,
10/21/2024,10/22/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-275.88,
10/20/2024,10/21/2024,NLW LLC,Professional Services,Sale,-20.00,
10/05/2024,10/06/2024,ROCKET DOLLAR  INC.,Professional Services,Sale,-10.00,
09/30/2024,09/30/2024,Payment Thank You-Mobile,,Payment,179.15,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,15.00,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,10.00,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,15.00,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,15.00,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,15.00,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,8.42,
09/23/2024,09/25/2024,ROCKET DOLLAR  INC.,Professional Services,Return,15.00,
